story,url,read
機師培訓機構成立宗旨//FTTW,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e5%9f%b9%e8%a8%93%e6%a9%9f%e6%a7%8b%e6%88%90%e7%ab%8b%e5%ae%97%e6%97%a8-fttw/,False
如何幫助你考上機師//FTTW,https://flyfttw.com/%e5%a6%82%e4%bd%95%e5%b9%ab%e5%8a%a9%e4%bd%a0%e8%80%83%e4%b8%8a%e6%a9%9f%e5%b8%ab-fttw/,False
機師考試心得— 破釜沉舟數學系生圓機師夢,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%bf%83%e5%be%97-%e7%a0%b4%e9%87%9c%e6%b2%89%e8%88%9f%e6%95%b8%e5%ad%b8%e7%b3%bb%e7%94%9f%e5%9c%93%e6%a9%9f%e5%b8%ab%e5%a4%a2/,False
"機師考試好書分享—「Say Again, Please!」",https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%a5%bd%e6%9b%b8%e5%88%86%e4%ba%ab%ef%bc%9a%e3%80%8csay-again-please%e3%80%8d/,False
機師推薦影片分享— 你意想不到的飛行挑戰！,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e6%8e%a8%e8%96%a6%e5%bd%b1%e7%89%87%e5%88%86%e4%ba%ab%ef%bc%9a%e4%bd%a0%e6%84%8f%e6%83%b3%e4%b8%8d%e5%88%b0%e7%9a%84%e9%a3%9b%e8%a1%8c%e6%8c%91%e6%88%b0%ef%bc%81/,False
機師考試小知識— 自我精進書單推薦！,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%b0%8f%e7%9f%a5%e8%ad%98%ef%bc%9a%e8%87%aa%e6%88%91%e7%b2%be%e9%80%b2%e6%9b%b8%e5%96%ae%e6%8e%a8%e8%96%a6%ef%bc%81/,False
機師考試小知識— ATC如何危機處理？,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%b0%8f%e7%9f%a5%e8%ad%98-atc%e5%a6%82%e4%bd%95%e5%8d%b1%e6%a9%9f%e8%99%95%e7%90%86%ef%bc%9f/,False
機師考試趣聞— 專業劃位技巧不藏私,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e8%b6%a3%e8%81%9e-%e5%b0%88%e6%a5%ad%e5%8a%83%e4%bd%8d%e6%8a%80%e5%b7%a7%e4%b8%8d%e8%97%8f%e7%a7%81/,False
機師考試小知識— 如何練習ATC？,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%b0%8f%e7%9f%a5%e8%ad%98-%e5%a6%82%e4%bd%95%e7%b7%b4%e7%bf%92atc%ef%bc%9f/,False
機師考試小知識— 飛行員必知九個飛行經驗,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%b0%8f%e7%9f%a5%e8%ad%98-%e9%a3%9b%e8%a1%8c%e5%93%a1%e5%bf%85%e7%9f%a5%e4%b9%9d%e5%80%8b%e9%a3%9b%e8%a1%8c%e7%b6%93%e9%a9%97/,False
機師考試小知識— 五個引擎不明故障的事故,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%b0%8f%e7%9f%a5%e8%ad%98-%e4%ba%94%e5%80%8b%e5%bc%95%e6%93%8e%e4%b8%8d%e6%98%8e%e6%95%85%e9%9a%9c%e7%9a%84%e4%ba%8b%e6%95%85/,False
機師考試必知—什麼是儀器檢定（Instrument Rating）?,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%bf%85%e7%9f%a5-%e4%bb%80%e9%ba%bc%e6%98%af%e5%84%80%e5%99%a8%e6%aa%a2%e5%ae%9a%ef%bc%88instrument-rating%ef%bc%89/,False
機師考試小知識— 為什麼邊轉彎總要邊帶桿？,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%b0%8f%e7%9f%a5%e8%ad%98-%e7%82%ba%e4%bb%80%e9%ba%bc%e9%82%8a%e8%bd%89%e5%bd%8e%e7%b8%bd%e8%a6%81%e9%82%8a%e5%b8%b6%e6%a1%bf%ef%bc%9f/,False
機師考試必知— 飛行前準備的重要性！,https://flyfttw.com/%e6%a9%9f%e5%b8%ab%e8%80%83%e8%a9%a6%e5%bf%85%e7%9f%a5-%e9%a3%9b%e8%a1%8c%e5%89%8d%e6%ba%96%e5%82%99%e7%9a%84%e9%87%8d%e8%a6%81%e6%80%a7%ef%bc%81/,False
